StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,check_game,check_bucket_boy_1,check_bucket_girl_1,check_bucket_boy_2,check_bucket_girl_2,check_bucket_boy_3,check_bucket_girl_3,check_sample_boy_1,check_sample_girl_1,check_sample_boy_2,check_sample_girl_2,fc_expl_indiv_1,fc_expl_indiv_2,fc_expl_indiv_3,fc_expl_indiv_4,normative_group_1,normative_group_2,inductivePoten_0,inductivePoten_1,inductivePoten_2,innateness_switch_01,innateness_switch_02,innateness_switch_03,innateness_switch_1,innateness_switch_2,check_attn_0,check_attn_1,check_attn_2,age,gender,gender_4_TEXT,race,race_15_TEXT,ed,comment_1,comment_2,comment_3,randomCode,context,explanation,cb
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"STUDY TITLE: Comparison processing in children
 
PROTOCOL DIRECTOR:  Marianna Zhang
 
DESCRIPTION:  You are invited to participate in a research study on language and social categories. You will be asked to read short sentences, read short excerpts from children’s books, answer short questions, produce or select sentences, rate items on various traits, or produce descriptions of items. You may see material intended for children – we are interested in how adults think about the same material. The purpose of this research is to understand the cognitive processes underlying language and social categorization. 
 
TIME INVOLVEMENT:  Your participation will take approximately 5-7 minutes.
 
RISKS AND BENEFITS:  There are no risks associated with this study.  No benefits may reasonably be expected to result from this study. We cannot and do not guarantee or promise that you will receive any benefits from this study.
 
PAYMENTS:  You will receive $1.38 through Amazon Payments as payment for your participation.
 
SUBJECT'S RIGHTS:  If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  Your individual privacy will be maintained in all published and written data resulting from the study.  No personally identifying information is ever revealed to the researchers.
 
CONTACT INFORMATION:
Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Marianna Zhang, at marianna.zhang@stanford.edu.
 
Independent Contact:  If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906.  You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306.
 
Please print a copy of this page for your records.
 
If you agree to participate in this research, please complete and submit the following questionnaire.","At Kiki school, there’s a special way of deciding which game each kid in the two classrooms will play that day: Yellow-Ball or Green-Ball.

 

In each classroom, the teacher puts two different buckets in one corner. One is yellow, one is green, and they stand right next to each other.

  

On the way to recess, each child stops a few steps away from the buckets and throws a pebble, aiming for one of the buckets.

 

If the pebble falls into the yellow bucket, that child plays Yellow-Ball that day.



          



If the pebble falls into the green bucket, that child plays Green-Ball that day.

    

                             

  Do you see how this works?","So, remember, in the boys’ classroom there are two buckets.

Are they both of the same size, or is one of them bigger?","In the girls’ classroom there are also two buckets.

Are they both of the same size, or is one of them bigger?","So, remember, in the boys’ classroom there are two buckets.

Are they both of the same size, or is one of them bigger?","In the girls’ classroom there are also two buckets.

Are they both of the same size, or is one of them bigger?","So, remember, in the boys’ classroom there are two buckets.

Are they both of the same size, or is one of them bigger?","In the girls’ classroom there are also two buckets.

Are they both of the same size, or is one of them bigger?","Here’s how many boys in the boys’ classroom played each game one day. One boy played Green-Ball, another boy played Green-Ball, another boy played Green-Ball, the next boy played Yellow-Ball and so on. So you can see which game each boy played that day:



And here's how many boys in the boys' classroom played each game another day:



And here's another day at the boys' classroom:



So, these are the games from the boys' classroom.

Which game did the boys play most often?","Here’s how many girls in the girls’ classroom played each game one day. One girl played Yellow-Ball, another girl played Yellow-Ball, one girl played Green-Ball, the next girl played Yellow-Ball and so on. So you can see which game each girl played that day:

 

And here's how many girls in the girls' classroom played each game another day:



And here's another day at the girls' classroom:



So, these are the games from the girls' classroom.

Which game did the girls play most often?","Here’s how many boys in the boys’ classroom played each game one day. One boy played Yellow-Ball, another boy played Yellow-Ball, one boy played Green-Ball, the next boy played Yellow-Ball and so on. So you can see which game each boy played that day:

 

And here's how many boys in the boys' classroom played each game another day:



And here's another day at the boys' classroom:



So, these are the games from the boys' classroom.

Which game did the boys play most often?","Here’s how many girls in the girls’ classroom played each game one day. One girl played Green-Ball, another girl played Green-Ball, another girl played Green-Ball, the next girl played Yellow-Ball and so on. So you can see which game each girl played that day:



And here's how many girls in the girls' classroom played each game another day:



And here's another day at the girls' classroom:



So, these are the games from the girls' classroom.

Which game did the girls play most often?","So, Suzy plays Yellow-Ball a lot at her school.


Is it because Suzy likes playing Yellow-Ball, or is it because of the size of the buckets in her classroom?","So, Suzy plays Green-Ball a lot at her school.


Is it because Suzy likes playing Green-Ball, or is it because of the size of the buckets in her classroom?","So, Suzy plays Yellow-Ball a lot at her school.



Is it because Suzy likes playing Yellow-Ball, or is it because of the size of the buckets in her classroom?","So, Suzy plays Green-Ball a lot at her school.



Is it because Suzy likes playing Green-Ball, or is it because of the size of the buckets in her classroom?",Would it be okay or not okay for girls to play Green-Ball?,Would it be okay or not okay for girls to play Yellow-Ball?,"Here’s Lucy. Lucy is a girl who doesn’t go to Kiki school. She goes to a different school where there aren’t any buckets.


Let’s show Lucy a Yellow-Ball and a Green-Ball.


What game do you think Lucy will play, Yellow-Ball or Green-Ball?",.,.,"Today Suzy is at the boys’ classroom, and it’s her turn to throw a ball into a bucket before recess.



If the pebble goes into the yellow bucket, she will play Yellow-Ball;


if the pebble goes into the green bucket, she will play Green-Ball.


Which game do you think Suzy will play today, Yellow-Ball or Green-Ball?","Today Suzy is at the boys’ classroom, and it’s her turn to throw a ball into a bucket before recess.



If the pebble goes into the yellow bucket, she will play Yellow-Ball;

 

if the pebble goes into the green bucket, she will play Green-Ball.

 

Which game do you think Suzy will play today, Yellow-Ball or Green-Ball?","Today Suzy is at the boys’ classroom, and it’s her turn to throw a ball into a bucket before recess.



If the pebble goes into the yellow bucket, she will play Yellow-Ball;

 

if the pebble goes into the green bucket, she will play Green-Ball.

 

Which game do you think Suzy will play today, Yellow-Ball or Green-Ball?",.,.,"This is an attention check. Please select ""Yellow-Ball"" below, and then ""For sure Yellow-Ball"":",.,.,Please enter your age in years:,Please indicate what gender you identify with: - Selected Choice,Please indicate what gender you identify with: - Enter your own gender identification label (if any) - Text,What is your racial or ethnic identity? - Selected Choice,What is your racial or ethnic identity? - Other - Text,What is the highest level of education you have completed?,"Thank you for participating! Here are some optional questions about your study experience. 
The next screen will display your completion code to copy/paste for payment. - Did you have any problems with this survey? Was anything confusing?","Thank you for participating! Here are some optional questions about your study experience. 
The next screen will display your completion code to copy/paste for payment. - What do you think this study is about?","Thank you for participating! Here are some optional questions about your study experience. 
The next screen will display your completion code to copy/paste for payment. - Would you suggest any changes to improve this survey?",randomCode,context,explanation,cb
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID6""}","{""ImportId"":""QID78""}","{""ImportId"":""QID81""}","{""ImportId"":""QID89""}","{""ImportId"":""QID92""}","{""ImportId"":""QID165""}","{""ImportId"":""QID168""}","{""ImportId"":""QID85""}","{""ImportId"":""QID102""}","{""ImportId"":""QID160""}","{""ImportId"":""QID155""}","{""ImportId"":""QID21""}","{""ImportId"":""QID184""}","{""ImportId"":""QID183""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID152""}","{""ImportId"":""QID150""}","{""ImportId"":""QID149""}","{""ImportId"":""QID151""}","{""ImportId"":""QID30""}","{""ImportId"":""QID118""}","{""ImportId"":""QID176""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID180""}","{""ImportId"":""QID182""}","{""ImportId"":""QID181""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_4_TEXT""}","{""ImportId"":""QID178""}","{""ImportId"":""QID178_15_TEXT""}","{""ImportId"":""QID179""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""randomCode""}","{""ImportId"":""context""}","{""ImportId"":""explanation""}","{""ImportId"":""cb""}"
12/3/2019 13:18,12/3/2019 13:18,IP Address,100,3,TRUE,12/3/2019 13:18,R_1nO292iYnv9IUA6,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2019 13:19,12/3/2019 13:19,IP Address,100,2,TRUE,12/3/2019 13:19,R_p6tVzUI3MtGFZdf,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2019 13:17,12/3/2019 13:21,IP Address,100,194,TRUE,12/3/2019 13:21,R_3sadfTVmf5HByY7,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,22,Male,,"White/European American,Click to write Choice 8",,"Bachelor's (B.A., B.S.)",none,group mentality,none,151294,nonstructural,formal,girlsYellow
12/3/2019 13:20,12/3/2019 13:21,IP Address,100,3,TRUE,12/3/2019 13:21,R_11cHvg7iU9YybGG,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2019 13:17,12/3/2019 13:21,IP Address,100,217,TRUE,12/3/2019 13:21,R_2xW2twMc0aS55YH,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Yellow-Ball",,,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,20,Male,,White/European American,,Some college,,,,274374,nonstructural,formal,girlsGreen
12/3/2019 13:17,12/3/2019 13:21,IP Address,100,207,TRUE,12/3/2019 13:21,R_2aRclHHUhvX46ZX,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,41,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No,I don't know,No,766836,nonstructural,control,girlsGreen
12/3/2019 13:17,12/3/2019 13:21,IP Address,100,223,TRUE,12/3/2019 13:21,R_2qBCvRgc7kp4N7B,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,23,Female,,White/European American,,"Bachelor's (B.A., B.S.)",,,,310144,nonstructural,control,girlsYellow
12/3/2019 13:18,12/3/2019 13:22,IP Address,100,269,TRUE,12/3/2019 13:22,R_eDNPBMLcgAkZ1iF,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Green-Ball",,"Maybe
Green-Ball",,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,31,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No,Options ,No everything worked fine,730902,structural,formal,girlsGreen
