file,subject,test_date,location,bing_id,stim,context,explanation,cb,exp_error,es_order,es_inductivePotential_wording,gender,age,check_game,check_bucket_boy_1,check_bucket_boy_2,check_bucket_girl_1,check_bucket_girl_2,check_sample_boy,check_sample_girl,stability_past,stability_past_expl,stability_future,stability_future_expl,innateness_stop,innateness_stop_expl,inductivePoten,inductivePoten_expl,innateness_switch,innateness_switch_expl,notes
FYP_20190131_01_str_formal_girlsYellow.mp4,1,1/31/2019,Bing,ba986,8,structural,formal,girlsYellow,No,"es_stability_past, es_stability_future, es_innateness_stop, es_innateness_switch, es_inductivePoten",original,female,5.24,Yes,One of the buckets is bigger,The green bucket,One of the buckets is bigger,The yellow bucket,Green-Ball,Yellow-Ball,No,,Yes,,Yes,,A whole lot of girls,,Maybe Green-Ball,,frustrated by how much talking there is
FYP_20190131_02_str_formal_girlsYellow.mp4,2,1/31/2019,Bing,bb271,8,structural,formal,girlsYellow,No,"es_stability_past, es_stability_future, es_innateness_stop, es_innateness_switch, es_inductivePoten",original,male,5.16,Yes,One of the buckets is bigger,The yellow bucket -> The green bucket,One of the buckets is bigger,The green bucket -> The yellow bucket,Green-Ball,Yellow-Ball,No,,No,,No,,A whole lot of girls,,Maybe Green-Ball,,likes Green-Ball
FYP_20190205_01_nonstr_control_girlsYellow.mp4,3,2/5/2019,Bing,ba893,2,nonstructural,control,girlsYellow,Yes,"es_stability_past, es_stability_future, es_innateness_stop, es_inductivePoten, es_innateness_switch",original,female,5.22,Yes,The same size,,The same size,,Green-Ball,Yellow-Ball,No,,No,I don't think so because if she plays a lot she'll get used to it,No,I think she should listen to herself,A whole lot of girls,cause I saw it in the game!,For sure Green-Ball,,innateness check question accidentally had 2 unequal buckets
FYP_20190205_02_nonstr_control_girlsYellow.mp4,4,2/5/2019,Bing,ba915,2,nonstructural,control,girlsYellow,No,"es_stability_past, es_stability_future, es_innateness_stop, es_inductivePoten, es_innateness_switch",original,male,5.19,Yes,The same size,,The same size,,Yellow-Ball -> Green-Ball,Yellow-Ball,No,"she played Green-Ball because I think that was her favorite color when she was little, and then later when she's big I think she liked yellow",No,"because she might have hitten a green one, and… then a yellow",Yes,,A whole lot of girls,one BILLION!,Maybe Green-Ball,because she might even get it in the yellow,
FYP_20190207_01_str_control_girlsGreen.mp4,5,2/7/2019,Bing,ba987,5,structural,control,girlsGreen,No,"es_stability_past, es_stability_future, es_innateness_stop, es_inductivePoten, es_innateness_switch",original,male,5.2,Yes,One of the buckets is bigger,The yellow bucket,One of the buckets is bigger,The yellow bucket -> The green bucket,Yellow-Ball,Green-Ball,No,"I don't think so, I don't know",Maybe,,No,,A few girls,a little bit of girls,Maybe Yellow-Ball,,
FYP_20190207_02_nonstr_formal_girlsGreen.mp4,6,2/7/2019,Bing,ba923,3,nonstructural,formal,girlsGreen,No,"es_stability_past, es_stability_future, es_innateness_stop, es_inductivePoten, es_innateness_switch",original,male,4.51,Yes,The same size,,The same size,,Yellow-Ball,Green-Ball,No,,No,,No,,A whole lot of girls,,Maybe Green-Ball,,
FYP_20190207_03_str_control_girlsGreen.mp4,7,2/7/2019,Bing,ba838,5,structural,control,girlsGreen,No,"es_stability_past, es_stability_future, es_innateness_stop, es_inductivePoten, es_innateness_switch",original,male,5.23,Yes,One of the buckets is bigger,The yellow bucket,One of the buckets is bigger,The green bucket,Yellow-Ball,Green-Ball,No,,Yes,,Yes,,A whole lot of girls,,For sure Green-Ball,because now she's going to the boys classroom,
paper,8,2/9/2019,Tech,,1,nonstructural,control,girlsGreen,No,"es_stability_past, es_stability_future, es_innateness_stop, es_inductivePoten, es_innateness_switch",original,female,5.95,Yes,The same size,,The same size,,Yellow-Ball,Green-Ball,Yes,,Yes,,No,,A few girls,,For sure Yellow-Ball,,
paper,9,2/9/2019,Tech,,4,nonstructural,formal,girlsYellow,No,"es_stability_past, es_stability_future, es_innateness_stop, es_inductivePoten, es_innateness_switch",original,male,5.9,Yes,The same size,,The same size,,Green-Ball,Yellow-Ball,Yes,,Yes,,Yes,,A whole lot of girls,,Maybe Yellow-Ball,,
paper,10,2/9/2019,Tech,,6,structural,control,girlsYellow,No,"es_stability_past, es_stability_future, es_innateness_stop, es_inductivePoten, es_innateness_switch",original,male,6.21,Yes,One of the buckets is bigger,The green bucket,One of the buckets is bigger,The yellow bucket,Green-Ball,Yellow-Ball,Yes,,Yes,,Yes,,A few girls,,For sure Green-Ball,,
