file,subject,test_date,location,bing_id,stim,context,explanation,cb,dvs,exp_error,interference,insuff_lang,gender,age,check_game,check_bucket_boy_1,check_bucket_boy_2,check_bucket_girl_1,check_bucket_girl_2,check_sample_boy,check_sample_boy_expl,check_sample_girl,check_sample_girl_expl,fc_expl_indiv,fc_expl_indiv_expl,fc_expl_indiv_size,fc_expl_indiv_size_expl,fc_expl_group,fc_expl_group_expl,inductivePoten,inductivePoten_expl,normative_group,normative_group_expl,normative_indiv,normative_indiv_expl,innateness_switch,innateness_switch_expl,notes
FYP_20190304_01,1,3/4/2019,Bing,ba971,8,structural,formal,girlsYellow,"fc_expl_group, inductivePoten, normative_indiv, innateness_switch",no,no,no,male,5.18,yes,One of them is bigger,The green bucket,One of them is bigger,The yellow bucket,Green-Ball,,Yellow-Ball,,,,,,Because of the buckets in their classrooms,"""It's because my mom is a girl and she likes yellow. And I'm a boy and I don't really like green but I kind of like yellow.",Green-Ball,,,,Not okay,Because the boys play more of the Green-Ball. And boys are more liking green.,For sure Green-Ball,,
FYP_20190304_02,2,3/4/2019,Bing,ba970,7,structural,formal,girlsGreen,"fc_expl_group, inductivePoten, normative_indiv, innateness_switch",no,no,no,female,5.24,yes,One of them is bigger,The yellow bucket,One of them is bigger,The yellow bucket -> the green bucket,Yellow-Ball,because the yellow bucket was bigger!,Green-Ball,,,,,,Because of the buckets in their classrooms,,Green-Ball,,,,Okay,,For sure Green-Ball,,
FYP_20190304_03,3,3/4/2019,Bing,bb100,6,structural,control,girlsYellow,"fc_expl_group, inductivePoten, normative_indiv, innateness_switch",no,no,no,male,5.38,yes,One of them is bigger,The green bucket,One of them is bigger,The yellow bucket,Green-Ball,,Yellow-Ball,,,,,,Because of the buckets in their classrooms,,Yellow-Ball,,,,Not okay,,Maybe Yellow-Ball,,"very reluctant to answer, had to be probed a bunch"
FYP_20190304_04,4,3/4/2019,Bing,bb101,5,structural,control,girlsGreen,"fc_expl_group, inductivePoten, normative_indiv, innateness_switch",no,no,no,female,5.27,yes,One of them is bigger,The yellow bucket,One of them is bigger,The green bucket,Yellow-Ball,,Green-Ball,,,,,,Because of the buckets in their classrooms,,Green-Ball,,,,Okay,,For sure Yellow-Ball,,
FYP_20190307_01,5,3/7/2019,Bing,ba1131,4,nonstructural,formal,girlsYellow,"fc_expl_indiv, inductivePoten, normative_group, innateness_switch",no,no,no,female,5.13,yes,The same size,,The same size,,Green-Ball,,Yellow-Ball,,Because Suzy likes playing Yellow-Ball,,,,,,Green-Ball,,Not okay,,,,Maybe Green-Ball,,
FYP_20190307_02,6,3/7/2019,Bing,ba1129,3,nonstructural,formal,girlsGreen,"fc_expl_indiv, inductivePoten, normative_group, innateness_switch",no,no,no,male,5.17,yes,The same size,,The same size,,Yellow-Ball,,Green-Ball,,Because of the buckets in her classroom,,,,,,Yellow-Ball,,Okay,,,,For sure Yellow-Ball,,
FYP_20190309_01,7,3/9/2019,Tech,,8,structural,formal,girlsYellow,"fc_expl_indiv, inductivePoten, normative_group, innateness_switch",no,no,no,female,6.26,yes,One of them is bigger,The green bucket,One of them is bigger,The yellow bucket,Green-Ball,,Yellow-Ball,,Because of the buckets in her classroom,so you can get it easily,,,,,Yellow-Ball,,Okay,,,,Maybe Green-Ball,,
FYP_20190309_02,8,3/9/2019,Tech,,1,nonstructural,control,girlsGreen,"fc_expl_indiv, inductivePoten, normative_group, innateness_switch",no,no,no,male,6.87,yes,The same size,,The same size,,Yellow-Ball,,Green-Ball,,Because Suzy likes playing Green-Ball,,,,,,Yellow-Ball,,Okay,,,,Maybe Yellow-Ball,,
FYP_20190309_03,9,3/9/2019,Tech,,6,structural,control,girlsYellow,"fc_expl_indiv, inductivePoten, normative_group, innateness_switch",no,no,no,female,6.79,yes,One of them is bigger,The green bucket,One of them is bigger,The yellow bucket,Green-Ball,,Yellow-Ball,,Because of the buckets in her classroom,because of the yellow bucket,,,,,Yellow-Ball,,Okay,,,,For sure Green-Ball,because it's bigger,
FYP_20190309_04,10,3/9/2019,Tech,,2,nonstructural,control,girlsYellow,"fc_expl_indiv, inductivePoten, normative_group, innateness_switch",no,no,no,male,4.69,yes,The same size,,The same size,,Green-Ball,,Yellow-Ball,,Because of the buckets in her classroom,,,,,,Yellow-Ball,,Not okay,,,,For sure Green-Ball,,
FYP_20190309_05,11,3/9/2019,Tech,,5,structural,control,girlsGreen,"fc_expl_indiv, inductivePoten, normative_group, innateness_switch",no,no,no,male,5.1,yes,The same size -> One of them is bigger,The yellow bucket,One of them is bigger,The green bucket,Green-Ball -> Yellow-Ball,,Green-Ball,,Because of the buckets in her classroom,,,,,,Green-Ball,,Okay,,,,Maybe Yellow-Ball,,
