subj,ctrb,gender,age,age_c,formex,female,question,item,response
13G,534,M,5.536,-0.401,0,0,1,1,1
17N,506,F,6.564,0.626,0,1,1,1,1
20N,524,F,5.050,-0.888,0,1,1,1,1
24N,522,F,6.786,0.849,0,1,1,1,1
26N,546,M,5.703,-0.235,0,0,1,1,0
27N,536,M,5.567,-0.371,0,0,1,1,0
28N,544,F,5.997,0.060,0,1,1,1,0
29N,548,F,5.550,-0.388,0,1,1,1,1
2G,526,M,5.033,-0.904,0,0,1,1,0
2N,502,F,5.700,-0.238,0,1,1,1,0
31N,542,M,5.050,-0.888,0,0,1,1,0
33N,538,M,5.461,-0.476,0,0,1,1,0
39N,540,F,6.308,0.371,0,1,1,1,0
3G,528,F,6.844,0.907,0,1,1,1,1
40N,540,M,6.203,0.265,0,0,1,1,1
43N,504,F,6.761,0.824,0,1,1,1,0
44N,508,M,6.317,0.379,0,0,1,1,0
46N,512,M,6.553,0.615,0,0,1,1,1
4G,530,F,6.625,0.687,0,1,1,1,1
52N,520,F,6.383,0.446,0,1,1,1,0
6N,516,M,5.125,-0.813,0,0,1,1,0
7N,514,M,5.281,-0.657,0,0,1,1,0
8G,532,F,6.289,0.351,0,1,1,1,1
8N,518,F,5.261,-0.676,0,1,1,1,1
9N,510,F,6.431,0.493,0,1,1,1,1
61N,510,M,5.422,-0.515,0,0,1,1,0
62N,506,F,6.817,0.879,0,1,1,1,0
63N,512,M,6.828,0.890,0,0,1,1,1
68N,516,M,5.092,-0.846,0,0,1,1,0
71N,514,M,5.078,-0.860,0,0,1,1,0
72N,504,F,5.958,0.021,0,1,1,1,0
22G,524,M,5.611,-0.326,0,0,1,1,1
23G,534,F,5.725,-0.213,0,1,1,1,1
28G,520,M,5.394,-0.543,0,0,1,1,0
31G,518,M,5.292,-0.646,0,0,1,1,0
34G,522,F,5.542,-0.396,0,1,1,1,1
10N,515,M,6.989,1.051,1,0,1,1,0
11G,525,M,5.944,0.007,1,0,1,1,1
13N,513,M,5.142,-0.796,1,0,1,1,1
14G,531,M,5.133,-0.804,1,0,1,1,1
16N,507,M,6.558,0.621,1,0,1,1,0
19N,505,F,6.058,0.121,1,1,1,1,0
1N,501,F,5.625,-0.313,1,1,1,1,1
21N,507,F,6.467,0.529,1,1,1,1,1
25N,535,F,6.569,0.632,1,1,1,1,0
34N,547,F,6.081,0.143,1,1,1,1,1
